spk	uid	orig_s	trim_s	ratio	mora	mora_per_s	cutoff_hz	band
cv_0001	common_voice_ja_39045171	3.888	2.485	0.639	20	8.05	10992.80081775701	~11-12k(源22-24k)
cv_0001	common_voice_ja_39046306	2.988	2.090	0.699	0		11027.392578124998	~11-12k(源22-24k)
cv_0001	common_voice_ja_39046176	5.256	3.947	0.751	33	8.36		
cv_0001	common_voice_ja_39046310	3.420	2.705	0.791	19	7.02		
cv_0001	common_voice_ja_39046224	2.628	1.614	0.614	12	7.43		
cv_0001	common_voice_ja_39045630	2.448	1.242	0.507	7	5.64		
cv_0001	common_voice_ja_39045516	6.336	4.667	0.737	0			
cv_0001	common_voice_ja_39044487	9.828	8.568	0.872	0			
cv_0001	common_voice_ja_39044826	2.700	1.463	0.542	0			
cv_0001	common_voice_ja_39044484	2.520	0.987	0.392	5	5.07		
cv_0001	common_voice_ja_39045518	3.348	2.485	0.742	0			
cv_0001	common_voice_ja_39044195	5.616	4.609	0.821	0			
cv_0001	common_voice_ja_39045954	1.836	0.801	0.436	5	6.24		
cv_0001	common_voice_ja_39044952	2.340	1.138	0.486	7	6.15		
cv_0001	common_voice_ja_39045951	9.720	8.847	0.910	0			
cv_0001	common_voice_ja_39045165	4.176	3.251	0.778	0			
cv_0001	common_voice_ja_39043926	2.880	1.660	0.576	13	7.83		
cv_0001	common_voice_ja_39045817	2.808	1.556	0.554	11	7.07		
cv_0001	common_voice_ja_39045277	3.348	2.705	0.808	0			
cv_0001	common_voice_ja_39045946	9.936	8.719	0.878	0			
cv_0001	common_voice_ja_39044183	4.140	2.856	0.690	22	7.70		
cv_0001	common_voice_ja_39044838	2.376	1.521	0.640	9	5.92		
cv_0001	common_voice_ja_39045719	2.376	1.033	0.435	7	6.78		
cv_0002	common_voice_ja_39043998	3.888	3.738	0.961	0		10955.986752717392	~11-12k(源22-24k)
cv_0002	common_voice_ja_39042701	2.484	2.264	0.911	8	3.53	10698.137019230768	~11-12k(源22-24k)
cv_0002	common_voice_ja_39042803	2.592	2.055	0.793	13	6.33		
cv_0002	common_voice_ja_39044165	4.176	3.704	0.887	30	8.10		
cv_0002	common_voice_ja_39043900	2.304	2.234	0.970	10	4.48		
cv_0002	common_voice_ja_39044469	2.520	1.591	0.631	13	8.17		
cv_0002	common_voice_ja_39043912	2.304	1.881	0.816	0			
cv_0002	common_voice_ja_39043558	3.024	2.821	0.933	13	4.61		
cv_0002	common_voice_ja_39044575	3.276	2.752	0.840	22	7.99		
cv_0002	common_voice_ja_39042902	4.176	3.646	0.873	28	7.68		
cv_0002	common_voice_ja_39042813	2.700	2.619	0.970	8	3.05		
cv_0002	common_voice_ja_39044563	3.888	3.286	0.845	0			
cv_0002	common_voice_ja_39045071	2.412	2.183	0.905	6	2.75		
cv_0002	common_voice_ja_39043822	2.736	2.647	0.967	0			
cv_0002	common_voice_ja_39043567	2.160	1.707	0.790	0			
cv_0002	common_voice_ja_39044173	4.320	3.680	0.852	0			
cv_0002	common_voice_ja_39043695	4.716	4.598	0.975	0			
cv_0002	common_voice_ja_39043562	2.088	1.440	0.690	7	4.86		
cv_0002	common_voice_ja_39044706	2.772	2.357	0.850	7	2.97		
cv_0002	common_voice_ja_39042707	2.088	0.940	0.450	5	5.32		
cv_0002	common_voice_ja_39042909	2.880	2.554	0.887	16	6.26		
cv_0003	common_voice_ja_39058568	2.160	1.393	0.645	6	4.31	10985.522460937498	~11-12k(源22-24k)
cv_0003	common_voice_ja_39059298	2.736	1.614	0.590	13	8.05	10972.948516187049	~11-12k(源22-24k)
cv_0003	common_voice_ja_39059035	2.268	1.498	0.660	6	4.01		
cv_0003	common_voice_ja_39056679	4.500	3.657	0.813	23	6.29		
cv_0003	common_voice_ja_39058839	5.688	5.132	0.902	37	7.21		
cv_0003	common_voice_ja_39058162	2.700	1.115	0.413	11	9.87		
cv_0003	common_voice_ja_39056683	10.044	8.870	0.883	0			
cv_0003	common_voice_ja_39059305	2.628	1.277	0.486	0			
cv_0003	common_voice_ja_39058564	3.096	2.519	0.814	16	6.35		
cv_0003	common_voice_ja_39058738	2.628	1.300	0.495	0			
cv_0003	common_voice_ja_39058927	3.132	1.776	0.567	16	9.01		
cv_0003	common_voice_ja_39058226	3.168	1.718	0.542	12	6.98		
cv_0003	common_voice_ja_39058732	2.736	2.194	0.802	0			
cv_0003	common_voice_ja_39058216	6.192	4.365	0.705	36	8.25		
cv_0003	common_voice_ja_39057804	4.572	3.100	0.678	25	8.06		
cv_0003	common_voice_ja_39059421	3.456	2.020	0.584	11	5.45		
cv_0003	common_voice_ja_39056695	2.772	1.695	0.611	0			
cv_0003	common_voice_ja_39058511	3.708	2.438	0.657	23	9.43		
cv_0003	common_voice_ja_39058507	2.340	0.755	0.323	5	6.62		
cv_0003	common_voice_ja_39057973	2.232	0.789	0.353	8	10.14		
cv_0003	common_voice_ja_39057854	2.736	1.115	0.408	6	5.38		
cv_0004	common_voice_ja_39027388	4.968	2.902	0.584	28	9.65	7743.33984375	<9k(電話帯域級?)
cv_0004	common_voice_ja_39027210	2.232	0.882	0.395	4	4.54	7197.756476151316	<9k(電話帯域級?)
cv_0004	common_voice_ja_39027180	3.636	2.566	0.706	18	7.01		
cv_0004	common_voice_ja_39027070	4.212	2.043	0.485	0			
cv_0004	common_voice_ja_39027896	2.808	1.405	0.500	0			
cv_0004	common_voice_ja_39027322	3.780	2.276	0.602	0			
cv_0004	common_voice_ja_39027320	5.868	4.725	0.805	0			
cv_0004	common_voice_ja_39027923	7.056	5.399	0.765	0			
cv_0004	common_voice_ja_39022455	3.420	2.148	0.628	0			
cv_0004	common_voice_ja_39027149	3.888	1.057	0.272	8	7.57		
cv_0004	common_voice_ja_39027974	3.780	2.020	0.534	0			
cv_0004	common_voice_ja_39027857	3.600	1.765	0.490	16	9.07		
cv_0004	common_voice_ja_39027860	2.052	0.882	0.430	5	5.67		
cv_0004	common_voice_ja_39027145	7.272	4.830	0.664	42	8.70		
cv_0004	common_voice_ja_39027897	3.996	2.543	0.636	19	7.47		
cv_0004	common_voice_ja_39027211	2.664	1.126	0.423	10	8.88		
cv_0004	common_voice_ja_39026981	2.484	2.009	0.809	10	4.98		
cv_0004	common_voice_ja_39028006	4.428	2.705	0.611	19	7.02		
cv_0005	common_voice_ja_39065741	3.600	2.705	0.751	19	7.02	11041.635092542918	~11-12k(源22-24k)
cv_0005	common_voice_ja_39064279	4.356	3.367	0.773	0		11009.85250538793	~11-12k(源22-24k)
cv_0005	common_voice_ja_39064287	2.340	1.219	0.521	0			
cv_0005	common_voice_ja_39064166	2.268	1.509	0.665	0			
cv_0005	common_voice_ja_39065723	3.996	2.276	0.570	17	7.47		
cv_0005	common_voice_ja_39064453	2.556	1.509	0.590	11	7.29		
cv_0005	common_voice_ja_39064174	3.780	2.775	0.734	0			
cv_0005	common_voice_ja_39065568	3.168	1.869	0.590	17	9.10		
cv_0005	common_voice_ja_39066497	5.148	1.486	0.289	14	9.42		
cv_0005	common_voice_ja_39065893	3.780	3.065	0.811	28	9.14		
cv_0005	common_voice_ja_39066489	1.836	1.126	0.613	8	7.10		
cv_0005	common_voice_ja_39066053	3.600	2.299	0.639	0			
cv_0005	common_voice_ja_39065046	2.160	0.859	0.398	7	8.15		
cv_0005	common_voice_ja_39064914	1.908	0.546	0.286	4	7.33		
cv_0005	common_voice_ja_39066057	2.916	1.289	0.442	12	9.31		
cv_0005	common_voice_ja_39064672	3.888	2.241	0.576	22	9.82		
cv_0005	common_voice_ja_39065391	3.780	2.496	0.660	22	8.81		
cv_0005	common_voice_ja_39066348	2.916	1.683	0.577	0			
cv_0005	common_voice_ja_39064336	1.728	0.848	0.491	8	9.43		
cv_0005	common_voice_ja_39064794	2.628	1.463	0.557	13	8.89		
cv_0005	common_voice_ja_39063467	2.340	1.184	0.506	6	5.07		
cv_0005	common_voice_ja_39066491	2.448	1.358	0.555	9	6.63		
cv_0006	common_voice_ja_39905887	3.708	2.705	0.730	0		10990.99047746781	~11-12k(源22-24k)
cv_0006	common_voice_ja_39905857	5.940	4.679	0.788	29	6.20	10989.093517369727	~11-12k(源22-24k)
cv_0006	common_voice_ja_39905791	3.708	2.473	0.667	24	9.70		
cv_0006	common_voice_ja_39905822	3.528	2.647	0.750	22	8.31		
cv_0006	common_voice_ja_39905874	4.608	3.111	0.675	0			
cv_0006	common_voice_ja_39905782	3.528	3.204	0.908	19	5.93		
cv_0006	common_voice_ja_39905814	3.528	3.251	0.921	0			
cv_0006	common_voice_ja_39905893	2.016	1.981	0.983	0			
cv_0006	common_voice_ja_39905911	5.580	4.238	0.759	39	9.20		
cv_0006	common_voice_ja_39905767	5.688	5.352	0.941	0			
cv_0006	common_voice_ja_39905892	3.960	3.274	0.827	33	10.08		
cv_0006	common_voice_ja_39905885	4.320	3.286	0.761	30	9.13		
cv_0006	common_voice_ja_39905647	3.096	2.810	0.908	15	5.34		
cv_0006	common_voice_ja_39905863	2.700	1.741	0.645	11	6.32		
cv_0006	common_voice_ja_39905813	3.456	2.612	0.756	23	8.81		
cv_0006	common_voice_ja_39905870	3.060	2.276	0.744	0			
cv_0006	common_voice_ja_39905781	3.816	3.541	0.928	26	7.34		
cv_0007	common_voice_ja_39875510	2.628	2.593	0.987	6	2.31	4774.456754606109	<9k(電話帯域級?)
cv_0007	common_voice_ja_39875524	2.736	2.635	0.963	15	5.69	9620.69366051762	~11-12k(源22-24k)
cv_0007	common_voice_ja_39822876	7.488	7.129	0.952	0			
cv_0007	common_voice_ja_39822872	2.916	2.612	0.896	8	3.06		
cv_0007	common_voice_ja_39875583	3.420	3.385	0.990	15	4.43		
cv_0007	common_voice_ja_39875522	3.996	3.973	0.994	20	5.03		
cv_0007	common_voice_ja_39875540	6.948	6.838	0.984	0			
cv_0007	common_voice_ja_39875570	6.228	6.182	0.993	0			
cv_0007	common_voice_ja_39875562	2.520	2.496	0.990	10	4.01		
cv_0007	common_voice_ja_39875514	2.160	2.113	0.978	6	2.84		
cv_0007	common_voice_ja_39831256	3.708	3.309	0.892	12	3.63		
cv_0007	common_voice_ja_39875573	2.808	2.763	0.984	11	3.98		
cv_0007	common_voice_ja_39875582	2.916	2.870	0.984	14	4.88		
cv_0007	common_voice_ja_39875599	2.088	1.997	0.956	5	2.50		
cv_0007	common_voice_ja_39875600	2.988	2.844	0.952	12	4.22		
