# impostor_mean=0.0281	impostor_p95=0.2535	cmn=none	th_across=0.178	th_tight=0.3	th_f0_st=3.0
spk	n_clips	intra_cos_mean	intra_cos_min	worst_pair	split	across_cos	within_min	f0_gap_st	type
cv_0127	8	0.1611	-0.0731	common_voice_ja_36364116.wav|common_voice_ja_36347066.wav	3/5	0.0775	0.2404	13.04	SHARED?F0
cv_0258	8	0.2501	-0.0716	common_voice_ja_38921303.wav|common_voice_ja_38892222.wav	5/3	0.0526	0.3190	12.11	SHARED?F0
cv_0075	8	0.2763	0.0257	common_voice_ja_39001607.wav|common_voice_ja_38999862.wav	5/3	0.1548	0.3728	3.73	SHARED?F0
cv_0279	8	0.2863	-0.0567	common_voice_ja_44996134.wav|common_voice_ja_45137250.wav	2/6	0.0708	0.4408	3.53	SHARED?F0
cv_0078	8	0.2227	-0.0592	common_voice_ja_39199680.wav|common_voice_ja_39207857.wav	6/2	0.1485	0.2779	3.38	SHARED?F0
cv_0095	8	0.3666	-0.0342	common_voice_ja_44710646.wav|common_voice_ja_44433375.wav	6/2	0.0675	0.5876	2.70	MIX?
cv_0289	8	0.3501	-0.0933	common_voice_ja_39380644.wav|common_voice_ja_39379771.wav	5/3	0.1071	0.3385	2.59	MIX?
cv_0155	8	0.4066	0.0306	common_voice_ja_42022175.wav|common_voice_ja_42022049.wav	5/3	0.1425	0.6450	2.42	MIX?
cv_0216	8	0.2202	-0.0861	common_voice_ja_36351440.wav|common_voice_ja_36351789.wav	5/3	0.0770	0.3531	2.20	MIX?
cv_0039	8	0.3077	0.0769	common_voice_ja_39766693.wav|common_voice_ja_39766569.wav	6/2	0.1701	0.4107	1.90	MIX?
cv_0105	8	0.1551	-0.0803	common_voice_ja_42147433.wav|common_voice_ja_42138907.wav	5/3	0.0612	0.2197	1.85	MIX?
cv_0019	8	0.3747	-0.0826	common_voice_ja_36350996.wav|common_voice_ja_36353334.wav	2/6	0.0840	0.1946	1.28	MIX?
